word,wcount,total
Videos,29,286
Club,54,610
AIDS,16,293
Triangle,59,384
Puppy,44,264
Help,560,2315
Go,305,1693
26,96,906
Pack,478,1490
Committee,74,409
Bagging,37,382
Artsplosure,7,81
Vote,24,110
Cross,20,293
Women,24,311
Website,38,223
May,7,81
Families,50,211
﻿Sign,42,190
Bag,190,839
Budgeting,25,293
Hub,10,116
Need,38,95
Dietition,5,81
Parade,13,98
Sciences,18,98
Week,86,183
Bags,25,186
October,75,137
Partnerships,37,79
Moving,12,116
St,238,643
Evaluation,21,231
Toys,74,459
Tutor,8,116
Use,41,265
Medical,35,325
Auction,8,98
Brighten,53,603
Run,16,293
Riding,33,186
With,7,81
Someone,53,603
Days,45,795
Grow,26,104
Opportunity,41,236
Build,255,1065
Project,169,393
Assemble,75,202
Food,731,2735
Olympics,41,502
Miracle,10,186
Aug,370,1619
Video,115,623
Office,27,231
LAST,44,426
Books,80,242
Angel,69,459
Spring,8,78
Duck,76,206
United,21,170
Aftercare,53,138
Workdays,59,117
﻿Contribute,22,337
Army,78,479
Interpreter,1,200
Advisor,55,564
Movers,14,69
November,60,167
Development,9,164
BOOST,78,286
Read,85,193
Christmas,49,459
House,156,486
Teacher,17,232
Director,3,164
Frisbee,4,116
Trails,41,357
Safe,42,98
Fun,124,719
Hour,34,271
﻿Update,43,295
Nature,41,357
Courage,160,660
Sales,6,116
Skilled,23,242
InPerson,42,98
Giveaway,18,98
Train,169,393
Sign,123,799
Holidays,74,459
Updates,38,223
Housing,30,271
Makeover,47,239
Hope,59,117
Campus,17,293
Coordination,19,141
Arts,20,245
Teachers,7,116
Leader,169,393
Horsebackriding,10,81
Host,52,378
Tour,82,574
Admin,72,372
Stage,38,163
Planning,21,271
Alarm,3,60
Feed,213,564
Morning,29,236
After,63,254
Package,86,183
Grants,27,317
Board,31,429
Professional,23,242
Speaker,30,108
Bank,464,1905
ReStore,31,117
Concepts,29,286
Media,65,505
Grocery,25,186
Blood,20,293
Essentials,124,373
Join,129,1289
Camp,34,418
Photographer,33,293
Spanish,120,543
Ultimate,4,116
Walk,25,353
Sale,38,347
Event,240,1626
Sound,3,60
REMOTE,109,603
Registered,5,81
Donation,266,1634
Develop,46,243
Theater,5,164
Adoption,57,535
School,52,639
Museum,35,214
Pepper,30,98
Shelters,109,603
11,76,206
Packers,71,214
Restoration,5,164
Distribute,136,1076
Distribution,99,528
ALS,69,227
Knowledge,4,186
Elementary,14,293
Handmade,53,603
Drive,214,667
Houses,65,193
Raleigh,149,958
Deliver,428,1777
Fight,203,1045
Beautification,17,293
Mini,8,426
Edit,20,20
Merchandiser,46,476
﻿Get,24,110
Shoppers,66,163
Kits,199,575
Coordinator,21,203
TRLC,59,357
HERE,42,190
Hero,45,257
Backpack,71,214
Beautify,6,60
Community,71,586
Tree,87,557
Client,24,295
Photography,10,81
Collect,91,150
Volunteers,440,879
Business,9,164
Ministry,2,125
Carrboro,37,382
Teaching,21,246
Hunger,203,1045
Duper,76,206
Bike,17,125
Warmth,59,555
Prep,202,958
Durham,184,1338
Dog,91,293
Teens,119,500
Building,52,352
Holiday,213,1009
June,222,608
Fridays,21,186
Tournament,61,343
Be,141,927
Repair,23,242
Database,24,295
Review,169,393
Therapeutic,43,267
Academic,107,394
Gardening,6,61
You,150,721
League,10,186
Book,146,601
Black,33,231
Farm,40,417
Write,110,529
Shelter,131,789
Pantry,122,446
Research,86,503
Goods,46,146
Salvation,78,479
Provide,49,459
Intern,82,738
Golf,40,138
Preschoolers,75,202
Men,109,603
Series,30,108
Local,144,479
20,96,298
Give,67,384
Outreach,4,369
Administrative,48,167
Forward,12,116
Trail,90,726
Orientation,5,61
Thanksgiving,70,382
Garden,304,1408
Patrick,13,98
1,326,1676
Dress,98,394
Schmoozing,13,60
Writer,22,186
Horses,59,117
Your,122,435
Buddies,71,214
Clubs,34,317
New,6,301
Tools,91,150
Delivery,96,640
Sports,20,293
Festival,95,832
TABLE,37,382
Live,8,78
Seniors,50,267
Assistant,92,975
Activate,117,970
Childcare,19,177
Workday,86,349
Center,41,372
Natural,18,98
Communities,8,116
Sort,449,1827
Desk,8,60
Demo,9,98
Internship,41,236
Translation,32,200
Social,84,615
Bookkeeping,26,271
Pickup,20,205
Conducting,49,236
Grantwriting,23,231
Card,322,1263
15,87,327
Park,17,116
Special,41,502
5,285,1091
PUPPIES,69,164
Victory,59,163
Lunch,21,164
Hygiene,86,183
Greeter,37,296
Volunteer,905,3675
HERO,37,257
Update,105,518
2019,7,81
CALL,44,426
8,83,743
Drivers,55,183
Restore,6,116
7000,49,459
Robotics,9,98
Survey,3,61
Data,45,526
Supplies,93,299
Education,14,324
End,9,60
19,82,218
Diapers,62,137
Dignity,86,183
Interceptor,3,61
Power,34,271
Virtual,205,954
Front,8,60
Items,118,459
STEM,6,78
August,73,899
12,26,104
Grant,109,734
Super,76,206
More,55,183
Group,26,104
Goathouse,13,60
Habitat,37,233
5K,16,293
Supply,77,317
Home,122,122
Assistance,64,447
Basketball,12,186
Out,28,479
Legal,4,186
Refuge,13,60
Support,6,78
Researcher,22,186
Service,69,484
Share,58,98
History,33,231
27,163,489
Crafts,13,164
Refrigerator,23,242
Students,78,108
Coach,4,116
Creek,20,391
Clinic,9,98
2,413,1896
Paint,59,163
Cards,269,1263
Good,167,1302
Pocket,62,459
Girls,54,610
Hungry,213,564
Thru,40,88
Free,23,246
Parents,86,183
Monthly,11,264
175th,13,78
Kitten,13,60
SOAR,4,369
First,37,186
Prepare,69,459
Baby,122,122
Time,44,264
Wake,67,741
MLK,55,183
29,68,838
ArtSpace,37,186
Seminar,11,78
Art,138,1007
Chicks,122,122
Wrap,62,137
2627,66,163
Freedom,2,60
Day,291,2959
Recycle,21,203
﻿Grab,85,193
Boys,54,610
Seat,5,164
Baggers,55,183
Night,5,61
Donate,91,150
Theatre,16,125
Friday,58,372
Silent,8,98
Kids,349,965
Events,19,141
Fundraising,82,472
Nutritionist,5,81
Packets,78,108
Helpers,14,293
County,8,186
Note,62,459
iCan,17,125
Instructors,12,186
Alliance,2,125
Sorting,78,555
Raise,122,122
Ambassadors,33,223
Fourth,7,81
Anniversary,13,78
Tiny,65,193
Warehouse,55,216
Info,24,295
REGISTER,315,315
Splash,76,206
Red,20,293
Over,49,459
Schools,8,116
Wildcat,14,293
6,155,1025
Donations,190,1060
The,77,616
Wildwoods,6,61
Family,224,1019
Program,78,524
Ledge,6,98
Crosby,11,125
YMCA,13,78
September,30,98
Rocks,59,163
Groceries,25,81
Skills,58,98
Youth,21,205
HOBY,11,78
NC,68,400
Walnut,14,293
Career,116,445
Fest,133,1008
July,144,1053
Work,243,1058
Workplace,86,337
We,143,516
Set,30,69
Cabinet,6,116
Create,205,1104
Make,111,576
Stock,78,157
Tennis,12,186
Success,98,394
